id,season,match_no,date,player_name,comment,R,B,M,fours,sixs,SR
0,2011/12,Final,Feb 29 2012,Ahmed Shehzad,,28,20,21,3,1,140.00
0,2011/12,Final,Feb 29 2012,Brad Hodge,not out ,70,51,86,4,4,137.25
0,2011/12,Final,Feb 29 2012,Phil Mustard,,5,5,5,1,0,100.00
0,2011/12,Final,Feb 29 2012,Mohammad Mithun,,1,5,5,0,0,20.00
25,2011/12,8th,Feb 13 2012,Nasir Jamshed,c Imran Nazir b Elias Sunny,27,32,51,2,0,84.37
0,2011/12,Final,Feb 29 2012,Mominul Haque,,11,13,15,0,0,84.61
25,2011/12,8th,Feb 13 2012,Jahurul Islam,run out (Stevens/Mosharraf Hossain),24,18,29,4,0,133.33
32,2011/12,1st,Feb 10 2012,Kamran Akmal,c †Mohammad Mithun b Harwood,8,9,7,2,0,88.88
29,2011/12,4th,Feb 11 2012,Ahmed Shehzad,c Syed Rasel b Abdul Razzaq,67,40,62,4,6,167.50
26,2011/12,7th,Feb 13 2012,Ahmed Shehzad, b Shafiul Islam,0,3,1,0,0,0.00
0,2011/12,Final,Feb 29 2012,Farhad Hossain,,11,14,14,0,1,78.57
30,2011/12,3rd,Feb 11 2012,Shivnarine Chanderpaul, b Azhar Mahmood,19,15,24,2,1,126.66
25,2011/12,8th,Feb 13 2012,Jason Roy,c Mohammad Ashraful b Elias Sunny,18,14,18,1,1,128.57
32,2011/12,1st,Feb 10 2012,Imrul Kayes,c Mominul Haque b Sohrawordi Shuvo,21,18,28,0,2,116.66
31,2011/12,2nd,Feb 10 2012,Tamim Iqbal,c Samuels b Mohammad Sami,3,7,10,0,0,42.85
29,2011/12,4th,Feb 11 2012,Chris Gayle,c †Mushfiqur Rahim b Samuels,39,23,37,4,2,169.56
28,2011/12,5th,Feb 12 2012,Shivnarine Chanderpaul,c Arafat Sunny b Mahmudullah,59,50,59,5,3,118.00
27,2011/12,6th,Feb 12 2012,Imrul Kayes,run out (Pollard),23,13,22,1,2,176.92
24,2011/12,9th,Feb 14 2012,Mizanur Rahman,c †Kamran Akmal b Sohail Tanvir,5,13,22,0,0,38.46
26,2011/12,7th,Feb 13 2012,Chris Gayle,c Russell b Shafiul Islam,2,10,17,0,0,20.00
0,2011/12,Final,Feb 29 2012,Yasir Arafat,,5,6,6,1,0,83.33
30,2011/12,3rd,Feb 11 2012,Herschelle Gibbs,c & b Azhar Mahmood,14,12,14,1,1,116.66
25,2011/12,8th,Feb 13 2012,Mahmudullah,c Naved-ul-Hasan b Elias Sunny,10,15,24,0,0,66.66
32,2011/12,1st,Feb 10 2012,Peter Trego, b Yasir Arafat,62,54,66,7,1,114.81
31,2011/12,2nd,Feb 10 2012,Jahurul Islam,c †Mushfiqur Rahim b Ervine,11,13,21,0,1,84.61
29,2011/12,4th,Feb 11 2012,Shahriar Nafees,not out ,28,32,52,3,0,87.50
28,2011/12,5th,Feb 12 2012,Herschelle Gibbs,c Enamul Haque jnr b Mahmudullah,34,29,45,5,0,117.24
27,2011/12,6th,Feb 12 2012,Kamran Akmal,lbw b Azhar Mahmood,0,1,6,0,0,0.00
20,2011/12,13th,Feb 16 2012,Ahmed Shehzad,c Mahmudullah b Arafat Sunny,7,8,-,1,0,87.50
24,2011/12,9th,Feb 14 2012,Junaid Siddique,c Faisal Iqbal b Sohail Tanvir,11,7,7,2,0,157.14
21,2011/12,12th,Feb 15 2012,Shivnarine Chanderpaul,c Muktar Ali b Abdul Razzaq,4,8,-,0,0,50.00
19,2011/12,14th,Feb 16 2012,Shahzaib Hasan,lbw b Elias Sunny,23,19,-,2,1,121.05
17,2011/12,16th,Feb 18 2012,Shahzaib Hasan,c †Jahurul Islam b Cooper,20,18,-,4,0,111.11
26,2011/12,7th,Feb 13 2012,Brad Hodge, b Shakib Al Hasan,12,16,20,2,0,75.00
18,2011/12,15th,Feb 18 2012,Shivnarine Chanderpaul,c †Kamran Akmal b Sohail Tanvir,8,9,-,2,0,88.88
23,2011/12,10th,Feb 14 2012,Imran Nazir,c Yasir Arafat b Alauddin Babu,58,35,51,3,5,165.71
22,2011/12,11th,Feb 15 2012,Kamran Akmal, b Cooper,54,41,-,9,1,131.70
0,2011/12,Final,Feb 29 2012,Kabir Ali,,6,7,12,0,0,85.71
30,2011/12,3rd,Feb 11 2012,Dwayne Smith,c Stevens b Mosharraf Hossain,37,31,42,3,1,119.35
25,2011/12,8th,Feb 13 2012,Faisal Hossain,run out (Aftab Ahmed/Naved-ul-Hasan),2,2,4,0,0,100.00
32,2011/12,1st,Feb 10 2012,Alok Kapali, b Yasir Arafat,56,36,46,6,2,155.55
31,2011/12,2nd,Feb 10 2012,Nasir Jamshed,c Sabbir Rahman b Qaiser Abbas,56,38,46,5,3,147.36
29,2011/12,4th,Feb 11 2012,Brad Hodge,not out ,38,25,27,4,2,152.00
16,2011/12,17th,Feb 19 2012,Imran Nazir,c Jayasuriya b Shafiul Islam,2,2,2,0,0,100.00
28,2011/12,5th,Feb 12 2012,Dwayne Smith,not out ,39,26,39,3,2,150.00
27,2011/12,6th,Feb 12 2012,Peter Trego,c Azhar Mahmood b Mashrafe Mortaza,9,11,13,1,0,81.81
20,2011/12,13th,Feb 16 2012,Chris Gayle,retired hurt ,30,16,-,2,3,187.50
24,2011/12,9th,Feb 14 2012,Marlon Samuels,c Imrul Kayes b Alok Kapali,72,48,66,3,5,150.00
21,2011/12,12th,Feb 15 2012,Herschelle Gibbs,run out (Saqlain Sajib),18,17,-,2,0,105.88
19,2011/12,14th,Feb 16 2012,Junaid Siddique,c Pollard b Elias Sunny,25,17,-,4,0,147.05
17,2011/12,16th,Feb 18 2012,Junaid Siddique,c Shamsur Rahman b Bravo,3,7,-,0,0,42.85
26,2011/12,7th,Feb 13 2012,Phil Mustard,lbw b Shakib Al Hasan,25,19,28,4,0,131.57
18,2011/12,15th,Feb 18 2012,Herschelle Gibbs,c Alok Kapali b Sohail Tanvir,0,2,-,0,0,0.00
23,2011/12,10th,Feb 14 2012,Anamul Haque,c Yasir Arafat b Ali,8,11,15,2,0,72.72
22,2011/12,11th,Feb 15 2012,Imrul Kayes,c Cooper b Farhad Reza,0,4,-,0,0,0.00
0,2011/12,Final,Feb 29 2012,Alauddin Babu,not out ,0,0,1,0,0,-
30,2011/12,3rd,Feb 11 2012,Shakib Al Hasan, b Naved-ul-Hasan,42,31,48,5,0,135.48
25,2011/12,8th,Feb 13 2012,Dwayne Bravo,c Stevens b Naved-ul-Hasan,43,31,31,3,2,138.70
32,2011/12,1st,Feb 10 2012,Scott Styris,not out ,7,2,3,0,1,350.00
31,2011/12,2nd,Feb 10 2012,Jason Roy, b Samuels,43,25,31,3,3,172.00
29,2011/12,4th,Feb 11 2012,Mizanur Rahman, b Harwood,65,52,59,7,2,125.00
16,2011/12,17th,Feb 19 2012,Mohammad Ashraful,c Nazmul Hossain Milon b Smith,53,42,75,4,1,126.19
28,2011/12,5th,Feb 12 2012,Andre Russell,c †Jahurul Islam b Bravo,24,16,23,3,1,150.00
27,2011/12,6th,Feb 12 2012,Alok Kapali,c Azhar Mahmood b Mashrafe Mortaza,10,12,11,0,1,83.33
20,2011/12,13th,Feb 16 2012,Mohammad Mithun,c †Jahurul Islam b Enamul Haque jnr,8,10,-,1,0,80.00
24,2011/12,9th,Feb 14 2012,Mushfiqur Rahim,c Sohail Tanvir b Naeem Islam,33,23,31,3,1,143.47
21,2011/12,12th,Feb 15 2012,Sanath Jayasuriya,c & b Samuels,12,10,-,0,1,120.00
19,2011/12,14th,Feb 16 2012,Marlon Samuels,c Pollard b Nazmul Hossain,36,38,-,3,1,94.73
17,2011/12,16th,Feb 18 2012,Khalid Latif,c Mahmudullah b Arafat Sunny,14,15,-,2,0,93.33
26,2011/12,7th,Feb 13 2012,Shahriar Nafees,c Abdur Razzak b Jayasuriya,6,15,14,0,0,40.00
18,2011/12,15th,Feb 18 2012,Dwayne Smith,c Naeem Islam b Nabil Samad,55,31,-,3,4,177.41
23,2011/12,10th,Feb 14 2012,Mohammad Ashraful,lbw b Ali,4,3,2,1,0,133.33
22,2011/12,11th,Feb 15 2012,Peter Trego, b Farhad Reza,51,48,-,3,0,106.25
0,2011/12,Final,Feb 29 2012,Imran Nazir,,75,43,67,6,6,174.41
30,2011/12,3rd,Feb 11 2012,Nazmul Hossain Milon,c Naved-ul-Hasan b Elias Sunny,1,5,7,0,0,20.00
25,2011/12,8th,Feb 13 2012,Ziaur Rahman,not out ,14,8,17,1,1,175.00
32,2011/12,1st,Feb 10 2012,Sohail Tanvir,not out ,1,1,2,0,0,100.00
31,2011/12,2nd,Feb 10 2012,Mahmudullah,not out ,43,18,23,3,3,238.88
29,2011/12,4th,Feb 11 2012,Junaid Siddique,c Shahriar Nafees b Yasir Arafat,5,4,12,1,0,125.00
16,2011/12,17th,Feb 19 2012,Azhar Mahmood,run out (†O'Brien),33,24,28,4,1,137.50
28,2011/12,5th,Feb 12 2012,Shakib Al Hasan,not out ,4,1,1,1,0,400.00
15,2011/12,18th,Feb 19 2012,Kamran Akmal, b Al-Amin Hossain,17,17,17,3,0,100.00
27,2011/12,6th,Feb 12 2012,Shuvagata Hom,c Imran Nazir b Pollard,14,14,17,0,1,100.00
14,2011/12,19th,Feb 20 2012,Ahmed Shehzad,c Shahzaib Hasan b Sabbir Rahman,44,33,-,2,3,133.33
20,2011/12,13th,Feb 16 2012,Brad Hodge,c Ziaur Rahman b Bravo,38,40,-,1,2,95.00
24,2011/12,9th,Feb 14 2012,Abdul Razzaq,c †Kamran Akmal b Trego,30,21,33,1,2,142.85
21,2011/12,12th,Feb 15 2012,Dwayne Smith, b Saqlain Sajib,17,15,-,2,0,113.33
19,2011/12,14th,Feb 16 2012,Khalid Latif,c & b Mosharraf Hossain,1,7,-,0,0,14.28
17,2011/12,16th,Feb 18 2012,Marlon Samuels, b Arafat Sunny,6,12,-,0,0,50.00
26,2011/12,7th,Feb 13 2012,Mohammad Mithun,run out (Shafiul Islam/†Saghir Hossain),1,1,1,0,0,100.00
18,2011/12,15th,Feb 18 2012,Sanath Jayasuriya, b Trego,9,11,-,0,1,81.81
23,2011/12,10th,Feb 14 2012,Azhar Mahmood,not out ,77,47,75,8,3,163.82
22,2011/12,11th,Feb 15 2012,Alok Kapali,not out ,34,23,-,2,1,147.82
0,2011/12,Final,Feb 29 2012,Nazimuddin,,13,12,14,2,0,108.33
30,2011/12,3rd,Feb 11 2012,Andre Russell,not out ,37,15,19,2,3,246.66
25,2011/12,8th,Feb 13 2012,Kevon Cooper,not out ,0,0,2,0,0,-
32,2011/12,1st,Feb 10 2012,Ahmed Shehzad,not out ,56,35,56,9,1,160.00
31,2011/12,2nd,Feb 10 2012,Dwayne Bravo,not out ,38,19,18,3,2,200.00
29,2011/12,4th,Feb 11 2012,Marlon Samuels, b Nazmul Islam,8,9,13,1,0,88.88
16,2011/12,17th,Feb 19 2012,Darren Stevens,c Marshall Ayub b Jayasuriya,8,12,15,0,0,66.66
28,2011/12,5th,Feb 12 2012,Nasir Jamshed,not out ,86,47,86,10,3,182.97
15,2011/12,18th,Feb 19 2012,Imrul Kayes,c Al-Amin Hossain b Yasir Arafat,13,12,25,1,1,108.33
27,2011/12,6th,Feb 12 2012,Naeem Islam,c Pollard b Elias Sunny,30,24,31,2,2,125.00
14,2011/12,19th,Feb 20 2012,Brad Hodge,c †Mushfiqur Rahim b Mohammad Sami,0,2,-,0,0,0.00
20,2011/12,13th,Feb 16 2012,Mominul Haque,c Bravo b Enamul Haque jnr,10,15,-,0,1,66.66
24,2011/12,9th,Feb 14 2012,Sabbir Rahman,c & b Alok Kapali,0,1,1,0,0,0.00
21,2011/12,12th,Feb 15 2012,Shakib Al Hasan,c Sabbir Rahman b Fawad Alam,44,26,-,5,1,169.23
19,2011/12,14th,Feb 16 2012,Mushfiqur Rahim,c Mosharraf Hossain b Pollard,10,8,-,1,0,125.00
17,2011/12,16th,Feb 18 2012,Mushfiqur Rahim,not out ,24,25,-,0,0,96.00
26,2011/12,7th,Feb 13 2012,Yasir Arafat, b Jayasuriya,10,10,13,1,0,100.00
18,2011/12,15th,Feb 18 2012,Shakib Al Hasan,c Shuvagata Hom b Nabil Samad,14,19,-,1,0,73.68
23,2011/12,10th,Feb 14 2012,Kieron Pollard,c †Mohammad Mithun b Yasir Arafat,36,15,24,0,5,240.00
22,2011/12,11th,Feb 15 2012,Scott Styris,c Cooper b Bravo,5,4,-,0,0,125.00
0,2011/12,Final,Feb 29 2012,Anamul Haque,not out ,49,38,56,5,1,128.94
30,2011/12,3rd,Feb 11 2012,Nasir Hossain,not out ,22,12,16,2,1,183.33
25,2011/12,8th,Feb 13 2012,Imran Nazir, b Arafat Sunny,22,12,11,3,1,183.33
32,2011/12,1st,Feb 10 2012,Chris Gayle,not out ,101,44,56,7,10,229.54
31,2011/12,2nd,Feb 10 2012,Sean Ervine,c Roy b Bravo,0,1,1,0,0,0.00
29,2011/12,4th,Feb 11 2012,Mushfiqur Rahim,run out (Nazmul Islam),0,2,2,0,0,0.00
16,2011/12,17th,Feb 19 2012,Kieron Pollard,c †O'Brien b Abdur Razzak,10,12,10,0,1,83.33
28,2011/12,5th,Feb 12 2012,Jahurul Islam,c Shafiul Islam b Russell,10,6,7,0,1,166.66
15,2011/12,18th,Feb 19 2012,Tom Maynard,c Mominul Haque b Sohrawordi Shuvo,11,8,11,2,0,137.50
27,2011/12,6th,Feb 12 2012,Nadif Chowdhury,run out (Mohammad Ashraful),4,6,7,0,0,66.66
14,2011/12,19th,Feb 20 2012,Phil Mustard,not out ,88,58,-,10,3,151.72
20,2011/12,13th,Feb 16 2012,Alauddin Babu, b Cooper,0,3,-,0,0,0.00
