season,team_1,team_1_score,team_2,team_2_score,player_of_match,toss_winner,toss_decision,winner,venue,city,date,win_by_wickets,win_by_runs,result,umpire_1,umpire_2
2016/17,Dhaka Dynamites,159/9,Rajshahi Kings,103,Kumar Sangakkara,Rajshahi Kings,field first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 9 2016,0,56,56 runs,Khalid Mahmood,Mahfuzur Rahman
2016/17,Khulna Titans,127/7,Chittagong Vikings,123/9,Mahmudullah,Chittagong Vikings,field first,Titans,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 12 2016,0,4,4 runs,Mahfuzur Rahman,Ranmore Martinesz
2016/17,Chittagong Vikings,124,Rangpur Riders,125/1,Mohammad Shahzad,Rangpur Riders,field first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur, Nov 9 2016,9,0,9 wickets,Khalid Mahmood,Nadir Shah
2016/17,Barisal Bulls,148/6,Dhaka Dynamites,149/2,Mehedi Maruf,Dhaka Dynamites,field first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur, Nov 8 2016,8,0,8 wickets,Khalid Mahmood,Nadir Shah
2016/17,Khulna Titans,133/8,Rajshahi Kings,130,Mahmudullah,Khulna Titans,bat first,Titans,"Shere Bangla National Stadium, Mirpur",Mirpur, Nov 9 2016,0,3,3 runs,Abdul Mazid,Mehidy Hasan Miraz
2016/17,Khulna Titans,44,Rangpur Riders,45/1,Shahid Afridi,Rangpur Riders,field first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 10 2016,9,0,9 wickets,Mahfuzur Rahman,Ranmore Martinesz
2016/17,Chittagong Vikings,161/3,Comilla Victorians,132/8,Mohammad Nabi,Comilla Victorians,field first,Vikings,"Shere Bangla National Stadium, Mirpur",Mirpur, Nov 8 2016,0,29,29 runs,Nahidul Islam,Najmul Hossain Shanto
2016/17,Dhaka Dynamites,138/5,Rajshahi Kings,139/4,Samit Patel,Rajshahi Kings,field first,Kings,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 11 2016,6,0,6 wickets,Khalid Mahmood,Masudur Rahman
2016/17,Dhaka Dynamites,170/6,Rangpur Riders,92,Mosaddek Hossain,Rangpur Riders,field first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 12 2016,0,78,78 runs,Khalid Mahmood,Nadir Shah
2016/17,Comilla Victorians,129/8,Barisal Bulls,130/4,Thisara Perera,Comilla Victorians,bat first,Bulls,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 11 2016,6,0,6 wickets,Nadir Shah,Ranmore Martinesz
2016/17,Barisal Bulls,192/4,Rajshahi Kings,188/6,Sabbir Rahman,Rajshahi Kings,field first,Bulls,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 13 2016,0,4,4 runs,Anisur Rahman,Khalid Mahmood
2016/17,Chittagong Vikings,163/3,Barisal Bulls,167/3,Dawid Malan,Barisal Bulls,field first,Bulls,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 14 2016,7,0,7 wickets,Khalid Mahmood,Tanvir Ahmed
2016/17,Dhaka Dynamites,194/5,Comilla Victorians,161/9,Mehedi Maruf,Comilla Victorians,field first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 14 2016,0,33,33 runs,Nadir Shah,Ranmore Martinesz
2016/17,Rangpur Riders,175/6,Barisal Bulls,163,Mohammad Mithun,Barisal Bulls,field first,Riders,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 17 2016,0,12,12 runs,Khalid Mahmood,Masudur Rahman
2016/17,Khulna Titans,144/9,Comilla Victorians,131/9,Shafiul Islam,Comilla Victorians,field first,Titans,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 13 2016,0,13,13 runs,Ranmore Martinesz,Sharfuddoula
2016/17,Dhaka Dynamites,148/9,Chittagong Vikings,129/8,Mohammad Shahid,Chittagong Vikings,field first,Dynamites,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 17 2016,0,19,19 runs,Nadir Shah,Ranmore Martinesz
2016/17,Chittagong Vikings,190/5,Rajshahi Kings,171/9,Mohammad Nabi,Rajshahi Kings,field first,Vikings,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 18 2016,0,19,19 runs,Khalid Mahmood,Nadir Shah
2016/17,Khulna Titans,157/5,Dhaka Dynamites,148,Mosharraf Hossain,Khulna Titans,bat first,Titans,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 19 2016,0,9,9 runs,Khalid Mahmood,Masudur Rahman
2016/17,Comilla Victorians,152/5,Rajshahi Kings,120,Sohail Tanvir,Rajshahi Kings,field first,Victorians,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 19 2016,0,32,32 runs,Nadir Shah,Ranmore Martinesz
2016/17,Dhaka Dynamites,182/4,Rajshahi Kings,184/7,Samit Patel,Dhaka Dynamites,bat first,Kings,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 21 2016,3,0,3 wickets,Nadir Shah,Ranmore Martinesz
2016/17,Khulna Titans,151/7,Barisal Bulls,129,Mahmudullah,Barisal Bulls,field first,Titans,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 20 2016,0,22,22 runs,Gazi Sohel,Ranmore Martinesz
2016/17,Comilla Victorians,122/5,Rangpur Riders,126/1,Mohammad Shahzad,Rangpur Riders,field first,Riders,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 18 2016,9,0,9 wickets,Ranmore Martinesz,Tanvir Ahmed
2016/17,Comilla Victorians,183/3,Chittagong Vikings,186/4,Mohammad Nabi,Comilla Victorians,bat first,Vikings,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 21 2016,6,0,6 wickets,Habibur Rahman,Shohidul Islam
2016/17,Khulna Titans,125/7,Rangpur Riders,129/3,Shahid Afridi,Khulna Titans,bat first,Riders,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 22 2016,7,0,7 wickets,Khalid Mahmood,Morshed Ali Khan
2016/17,Chittagong Vikings,185/5,Barisal Bulls,107,Shoaib Malik,Chittagong Vikings,bat first,Vikings,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 22 2016,0,78,78 runs,Gazi Sohel,Ranmore Martinesz
2016/17,Rajshahi Kings,162/5,Rangpur Riders,150/5,Daren Sammy,Rangpur Riders,field first,Kings,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 25 2016,0,12,12 runs,Ranmore Martinesz,Sharfuddoula
2016/17,Barisal Bulls,119/5,Khulna Titans,120/4,Shuvagata Hom,Barisal Bulls,bat first,Titans,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 25 2016,6,0,6 wickets,Anisur Rahman,Khalid Mahmood
2016/17,Rajshahi Kings,154/8,Khulna Titans,145/6,Daren Sammy,Rajshahi Kings,bat first,Kings,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 26 2016,0,9,9 runs,Mahfuzur Rahman,Rashid Riaz
2016/17,Dhaka Dynamites,170/4,Comilla Victorians,138/8,Shakib Al Hasan,Dhaka Dynamites,bat first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 26 2016,0,32,32 runs,Khalid Mahmood,Nadir Shah
2016/17,Barisal Bulls,132/6,Dhaka Dynamites,135/6,Shakib Al Hasan,Barisal Bulls,bat first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 27 2016,4,0,4 wickets,Khalid Mahmood,Masudur Rahman
2016/17,Rangpur Riders,124/6,Chittagong Vikings,128/1,Tamim Iqbal,Rangpur Riders,bat first,Vikings,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 27 2016,9,0,9 wickets,Nadir Shah,Ranmore Martinesz
2016/17,Rajshahi Kings,128/7,Rangpur Riders,79,Mehidy Hasan Miraz,Rajshahi Kings,bat first,Kings,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 28 2016,0,49,49 runs,Gazi Sohel,Rashid Riaz
2016/17,Barisal Bulls,142/8,Comilla Victorians,145/2,Nabil Samad,Barisal Bulls,bat first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 29 2016,8,0,8 wickets,Khalid Mahmood,Mahfuzur Rahman
2016/17,Khulna Titans,131/8,Chittagong Vikings,135/5,Tamim Iqbal,Khulna Titans,bat first,Vikings,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 29 2016,5,0,5 wickets,Gazi Sohel,Ranmore Martinesz
2016/17,Dhaka Dynamites,188/7,Rangpur Riders,146/8,Evin Lewis,Dhaka Dynamites,bat first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 30 2016,0,42,42 runs,Khalid Mahmood,Nadir Shah
2016/17,Rajshahi Kings,124/7,Comilla Victorians,125/2,Mohammad Saifuddin,Rajshahi Kings,bat first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 30 2016,8,0,8 wickets,Masudur Rahman,Rashid Riaz
2016/17,Barisal Bulls,161/4,Rajshahi Kings,144/7,Rayad Emrit,Rajshahi Kings,field first,Bulls,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 1 2016,0,17,17 runs,Mahfuzur Rahman,Ranmore Martinesz
2016/17,Khulna Titans,141/6,Comilla Victorians,142/5,Marlon Samuels,Comilla Victorians,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 2 2016,5,0,5 wickets,Ranmore Martinesz,Tanvir Ahmed
2016/17,Chittagong Vikings,134/6,Dhaka Dynamites,135/4,Dwayne Bravo,Dhaka Dynamites,field first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 2 2016,6,0,6 wickets,Khalid Mahmud,Masudur Rahman
2016/17,Rangpur Riders,154/5,Barisal Bulls,125,Mohammad Shahzad,Rangpur Riders,bat first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 3 2016,0,29,29 runs,Khalid Mahmud,Mahfuzur Rahman
2016/17,Chittagong Vikings,111/9,Rajshahi Kings,112/4,Afif Hossain,Rajshahi Kings,field first,Kings,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 3 2016,6,0,6 wickets,Nadir Shah,Ranmore Martinesz
2016/17,Comilla Victorians,170/6,Rangpur Riders,162/8,Rashid Khan,Rangpur Riders,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 4 2016,0,8,8 runs,Khalid Mahmood,Nadir Shah
2016/17,Dhaka Dynamites,158/7,Khulna Titans,159/4,Mahmudullah,Khulna Titans,field first,Titans,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 4 2016,6,0,6 wickets,Morshed Ali Khan,Ranmore Martinesz
2016/17,Chittagong Vikings,142/8,Rajshahi Kings,143/7,Daren Sammy,Rajshahi Kings,field first,Kings,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 6 2016,3,0,3 wickets,Masudur Rahman,Ranmore Martinesz
2016/17,Dhaka Dynamites,140/8,Khulna Titans,86,Andre Russell,Khulna Titans,field first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 6 2016,0,54,54 runs,Khalid Mahmood,Nadir Shah
2016/17,Khulna Titans,125/9,Rajshahi Kings,129/3,Samit Patel,Khulna Titans,bat first,Kings,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 7 2016,7,0,7 wickets,Masudur Rahman,Ranmore Martinesz
